2026-07-15 17:13:06 | INFO    | pipeline.run_model | === run_model: model=random_forest dataset=tree task=binary subgroup=male n_splits=5 n_repeats=5 ===
2026-07-15 17:13:06 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 17:13:14 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 17:13:14 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 17:13:14 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): class_weight=None,max_depth=5,min_samples_leaf=2,n_estimators=200
2026-07-15 17:13:14 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.8206896551724138, 'balanced_accuracy': 0.7867104183757178, 'precision': 0.8235294117647058, 'recall': 0.9130434782608695, 'f1': 0.865979381443299, 'f2': 0.8936170212765957, 'roc_auc': 0.8568498769483183, 'mcc': 0.6046039844486432}
2026-07-15 17:13:14 | INFO    | pipeline.run_model | === run_model: model=random_forest dataset=tree task=severity subgroup=all n_splits=5 n_repeats=5 ===
2026-07-15 17:13:14 | INFO    | pipeline.run_model | 54 combinacoes de hiperparametros a avaliar.
2026-07-15 17:13:22 | INFO    | pipeline.run_model | 1350 runs ja existentes (checkpoint).
2026-07-15 17:13:22 | INFO    | pipeline.run_model | Grid search concluido: 0 runs novos, 1350 pulados (ja existiam).
2026-07-15 17:13:22 | INFO    | pipeline.run_model | Melhor combinacao (roc_auc): class_weight=None,max_depth=5,min_samples_leaf=2,n_estimators=800
2026-07-15 17:13:23 | INFO    | pipeline.run_model | Avaliacao final no teste concluida: {'accuracy': 0.5652173913043478, 'balanced_accuracy': 0.32145480731536874, 'precision': 0.31280179982440737, 'recall': 0.32145480731536874, 'f1': 0.2988684964908234, 'f2': 0.3110511190116587, 'roc_auc': 0.8056457878302059, 'mcc': 0.34099545660266345}
2026-07-15 17:13:23 | INFO    | pipeline.run_model | === run_model: model=svm dataset=linear task=binary subgroup=all n_splits=5 n_repeats=5 ===
